"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","ws197185.vpn.haw-hamburg.de","dns.is.haw-hamburg.de","DNS","72","Standard query 0x2546  A tiles.services.mozilla.com"
"2","0.000032000","ws197185.vpn.haw-hamburg.de","dns.is.haw-hamburg.de","DNS","72","Standard query 0xea21  A tiles.services.mozilla.com"
"3","0.000070000","ws197185.vpn.haw-hamburg.de","dns.is.haw-hamburg.de","DNS","72","Standard query 0x9110  AAAA tiles.services.mozilla.com"
"4","0.003034000","dns.is.haw-hamburg.de","ws197185.vpn.haw-hamburg.de","DNS","427","Standard query response 0x2546  CNAME tiles.r53-2.services.mozilla.com A 52.25.98.110 A 52.25.118.147 A 52.26.72.94 A 52.26.119.85 A 54.186.148.25 A 54.187.97.23 A 52.11.74.226 A 52.25.89.207"
"5","0.003515000","dns.is.haw-hamburg.de","ws197185.vpn.haw-hamburg.de","DNS","427","Standard query response 0xea21  CNAME tiles.r53-2.services.mozilla.com A 52.25.89.207 A 52.25.98.110 A 52.25.118.147 A 52.26.72.94 A 52.26.119.85 A 54.186.148.25 A 54.187.97.23 A 52.11.74.226"
"6","0.003524000","dns.is.haw-hamburg.de","ws197185.vpn.haw-hamburg.de","DNS","180","Standard query response 0x9110  CNAME tiles.r53-2.services.mozilla.com"
"7","0.003738000","ws197185.vpn.haw-hamburg.de","tiles.r53-2.services.mozilla.com","TCP","60","40126 > https [SYN] Seq=0 Win=27320 Len=0 MSS=1366 SACK_PERM=1 TSval=450727 TSecr=0 WS=128"
"8","0.181850000","tiles.r53-2.services.mozilla.com","ws197185.vpn.haw-hamburg.de","TCP","60","https > 40126 [SYN, ACK] Seq=0 Ack=1 Win=17898 Len=0 MSS=1366 SACK_PERM=1 TSval=820829335 TSecr=450727 WS=256"
"9","0.181882000","ws197185.vpn.haw-hamburg.de","tiles.r53-2.services.mozilla.com","TCP","52","40126 > https [ACK] Seq=1 Ack=1 Win=27392 Len=0 TSval=450772 TSecr=820829335"
"10","0.182074000","ws197185.vpn.haw-hamburg.de","tiles.r53-2.services.mozilla.com","TLSv1.2","252","Client Hello"
"11","0.315586000","ws197185.vpn.haw-hamburg.de","dns.is.haw-hamburg.de","DNS","73","Standard query 0x9019  PTR 185.197.22.141.in-addr.arpa"
"12","0.315618000","ws197185.vpn.haw-hamburg.de","dns.is.haw-hamburg.de","DNS","73","Standard query 0x6598  PTR 100.192.22.141.in-addr.arpa"
"13","0.323118000","dns.is.haw-hamburg.de","ws197185.vpn.haw-hamburg.de","DNS","221","Standard query response 0x9019  PTR ws197185.vpn.haw-hamburg.de"
"14","0.323253000","dns.is.haw-hamburg.de","ws197185.vpn.haw-hamburg.de","DNS","208","Standard query response 0x6598  PTR dns.is.haw-hamburg.de"
"15","0.352773000","tiles.r53-2.services.mozilla.com","ws197185.vpn.haw-hamburg.de","TCP","52","https > 40126 [ACK] Seq=1 Ack=201 Win=11520 Len=0 TSval=820829434 TSecr=450772"
"16","0.354138000","tiles.r53-2.services.mozilla.com","ws197185.vpn.haw-hamburg.de","TLSv1.2","1064","Server Hello"
"17","0.354148000","ws197185.vpn.haw-hamburg.de","tiles.r53-2.services.mozilla.com","TCP","52","40126 > https [ACK] Seq=201 Ack=1013 Win=29440 Len=0 TSval=450815 TSecr=820829434"
"18","0.354566000","tiles.r53-2.services.mozilla.com","ws197185.vpn.haw-hamburg.de","TCP","1064","[TCP segment of a reassembled PDU]"
"19","0.354573000","ws197185.vpn.haw-hamburg.de","tiles.r53-2.services.mozilla.com","TCP","52","40126 > https [ACK] Seq=201 Ack=2025 Win=31488 Len=0 TSval=450815 TSecr=820829434"
"20","0.355253000","tiles.r53-2.services.mozilla.com","ws197185.vpn.haw-hamburg.de","TLSv1.2","969","Certificate"
"21","0.355263000","ws197185.vpn.haw-hamburg.de","tiles.r53-2.services.mozilla.com","TCP","52","40126 > https [ACK] Seq=201 Ack=2942 Win=33408 Len=0 TSval=450815 TSecr=820829434"
"22","0.358900000","ws197185.vpn.haw-hamburg.de","tiles.r53-2.services.mozilla.com","TLSv1.2","178","Client Key Exchange, Change Cipher Spec, Hello Request, Hello Request"
"23","0.358966000","ws197185.vpn.haw-hamburg.de","tiles.r53-2.services.mozilla.com","TLSv1.2","639","Application Data"
"24","0.481203000","ws197185.vpn.haw-hamburg.de","dns.is.haw-hamburg.de","DNS","71","Standard query 0x4b84  A www.volksbank-stormarn.de"
"25","0.481289000","ws197185.vpn.haw-hamburg.de","dns.is.haw-hamburg.de","DNS","71","Standard query 0xc6ee  AAAA www.volksbank-stormarn.de"
"26","0.483496000","dns.is.haw-hamburg.de","ws197185.vpn.haw-hamburg.de","DNS","161","Standard query response 0x4b84  A 194.149.250.192"
"27","0.483941000","dns.is.haw-hamburg.de","ws197185.vpn.haw-hamburg.de","DNS","136","Standard query response 0xc6ee "
"28","0.484065000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TCP","60","41073 > http [SYN] Seq=0 Win=27320 Len=0 MSS=1366 SACK_PERM=1 TSval=450847 TSecr=0 WS=128"
"29","0.495954000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TCP","44","http > 41073 [SYN, ACK] Seq=0 Ack=1 Win=8190 Len=0 MSS=1360"
"30","0.495972000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TCP","40","41073 > http [ACK] Seq=1 Ack=1 Win=3496960 Len=0"
"31","0.496047000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","HTTP","399","GET /homepage.html HTTP/1.1 "
